time, FPSSternPort, FPSBow, FPSSternStbd, OWCBow, OWCSternPort, OWCSternStbd, FPS_OWCUmbilical, FPSUmbilical, PressureSensor
0.96875,7.0408e-05,0.0001055,0.00013,3.3598e-05,3.1951e-05,3.0703e-05,7.342e-05,0.000138,8.4911e-07
0.97656,7.0017e-05,9.9578e-05,0.00012988,3.3574e-05,3.1913e-05,3.1408e-05,7.4222e-05,0.00013725,6.8502e-06
0.98438,6.9752e-05,0.0001165,0.00012975,3.3663e-05,3.1523e-05,3.0482e-05,7.4518e-05,0.000138,4.1217e-06
0.99219,6.9838e-05,9.601e-05,0.000131,3.3781e-05,3.1541e-05,3.0896e-05,7.3497e-05,0.00013863,-1.0469e-05
1,7.0391e-05,0.000104,0.000128,3.3449e-05,3.2274e-05,3.1309e-05,7.3517e-05,0.000139,-8.1801e-06
1.0078,7.0198e-05,0.000106,0.00013,3.3674e-05,3.1286e-05,3.0115e-05,7.3806e-05,0.000139,2.6412e-06
1.0156,6.9885e-05,9.4028e-05,0.00013025,3.3861e-05,3.1645e-05,3.0986e-05,7.3537e-05,0.000138,3.6722e-06
1.0234,6.958e-05,0.00011887,0.00013087,3.4053e-05,3.2552e-05,3.1747e-05,7.4487e-05,0.00013887,1.1337e-05
1.0313,6.9978e-05,0.00010031,0.000129,3.3582e-05,3.2647e-05,3.1194e-05,7.3699e-05,0.000138,2.4922e-05
1.0391,6.9432e-05,0.00010225,0.000131,3.3111e-05,3.1922e-05,3.0884e-05,7.3123e-05,0.000138,7.2464e-06
1.0469,6.921e-05,0.00010775,0.0001305,3.3792e-05,3.1673e-05,3.1479e-05,7.4436e-05,0.00013875,3.1534e-06
1.0547,6.8985e-05,8.7325e-05,0.00013038,3.338e-05,3.1316e-05,3.0724e-05,7.3947e-05,0.00013838,2.1919e-07
1.0625,6.8594e-05,0.000118,0.000131,3.4237e-05,3.0892e-05,3.0641e-05,7.369e-05,0.000139,-1.4302e-05
1.0703,6.9811e-05,0.00010325,0.00013025,3.4183e-05,3.2163e-05,3.1237e-05,7.425e-05,0.00013875,3.0589e-05
1.0781,6.9119e-05,0.000101,0.00012975,3.3872e-05,3.1775e-05,3.0683e-05,7.4169e-05,0.00013875,6.8323e-06
1.0859,6.9383e-05,0.000111,0.00013013,3.3812e-05,3.1853e-05,2.99e-05,7.4035e-05,0.000139,4.1695e-06
1.0938,6.9284e-05,8.6962e-05,0.00013,3.3804e-05,3.1994e-05,3.0358e-05,7.353e-05,0.0001385,5.5927e-08
1.1016,6.8131e-05,0.00011138,0.000131,3.3929e-05,3.2079e-05,3.1799e-05,7.4186e-05,0.00013913,5.4494e-06
1.1094,6.9142e-05,0.0001045,0.00013,3.3767e-05,3.1785e-05,3.0764e-05,7.3858e-05,0.00013875,6.8547e-06
1.1172,6.8791e-05,0.000101,0.000131,3.445e-05,3.146e-05,2.9988e-05,7.3533e-05,0.00013862,5.4125e-06
1.125,6.9673e-05,0.000115,0.000131,3.4013e-05,3.1744e-05,2.9995e-05,7.4409e-05,0.000139,2.9901e-06
