time, FPSSternPort, FPSBow, FPSSternStbd, OWCBow, OWCSternPort, OWCSternStbd, FPS_OWCUmbilical, FPSUmbilical, PressureSensor
0.69531,6.9905e-05,0.00010738,0.000132,3.321e-05,3.1372e-05,3.0991e-05,7.322e-05,0.00013638,6.3442e-07
0.70313,7.0147e-05,9.0087e-05,0.000132,3.3635e-05,3.1442e-05,3.0516e-05,7.2862e-05,0.00013625,3.5447e-06
0.71094,6.961e-05,0.0001195,0.00013288,3.4179e-05,3.1614e-05,3.1171e-05,7.3421e-05,0.000136,3.7919e-06
0.71875,7.0172e-05,0.0001055,0.0001325,3.3591e-05,3.14e-05,3.109e-05,7.3511e-05,0.0001365,3.4627e-06
0.72656,7.0199e-05,0.00010237,0.00013188,3.3716e-05,3.1692e-05,2.9788e-05,7.3952e-05,0.00013625,1.7351e-05
0.73438,7.0381e-05,0.0001095,0.000132,3.367e-05,3.1369e-05,3.0342e-05,7.3879e-05,0.000137,1.3314e-06
0.74219,6.981e-05,8.6905e-05,0.00013163,3.3302e-05,3.1502e-05,3.0273e-05,7.2953e-05,0.00013663,-6.1565e-06
0.75,6.9619e-05,0.000116,0.000133,3.285e-05,3.1336e-05,3.0624e-05,7.3314e-05,0.000136,-2.5839e-05
0.75781,7.0742e-05,0.000105,0.000132,3.4211e-05,3.1136e-05,2.9977e-05,7.3282e-05,0.000137,1.4421e-06
0.76563,7.056e-05,0.00010009,0.00013025,3.3499e-05,3.1387e-05,3.0527e-05,7.317e-05,0.00013625,8.7116e-06
0.77344,7.0508e-05,0.00011362,0.00013275,3.4276e-05,3.2708e-05,3.0857e-05,7.3337e-05,0.00013788,2.5697e-06
0.78125,7.0133e-05,8.8878e-05,0.0001305,3.3351e-05,3.1319e-05,3.0667e-05,7.3859e-05,0.0001365,2.677e-06
0.78906,6.9703e-05,0.00010775,0.000132,3.3178e-05,3.0968e-05,2.9924e-05,7.2979e-05,0.000137,-2.5647e-05
0.79688,6.992e-05,0.000106,0.00013,3.3399e-05,3.1174e-05,3.0352e-05,7.3149e-05,0.00013625,-1.3702e-06
0.80469,6.9841e-05,9.8518e-05,0.000131,3.3803e-05,3.1601e-05,3.0441e-05,7.41e-05,0.00013637,4.272e-06
0.8125,7.0513e-05,0.000119,0.000131,3.3369e-05,3.1211e-05,3.0141e-05,7.3642e-05,0.000136,1.1545e-05
0.82031,7.1546e-05,9.2747e-05,0.000131,3.4024e-05,3.2373e-05,3.0989e-05,7.308e-05,0.00013662,2.7432e-05
0.82813,7.0476e-05,0.000103,0.00013025,3.3213e-05,3.2128e-05,3.0787e-05,7.3766e-05,0.00013675,1.2423e-05
0.83594,6.9798e-05,0.00010775,0.00013075,3.3698e-05,3.1488e-05,3.0932e-05,7.3718e-05,0.00013688,-5.1221e-06
0.84375,6.9497e-05,9.4049e-05,0.000131,3.2976e-05,3.1772e-05,3.0413e-05,7.3696e-05,0.000137,5.3071e-06
0.85156,7.0054e-05,0.00012088,0.00013012,3.3737e-05,3.1361e-05,3.1648e-05,7.3929e-05,0.000137,-2.3928e-07
0.85938,6.9932e-05,0.000101,0.00013,3.3398e-05,3.1748e-05,3.0799e-05,7.4001e-05,0.000137,-5.3264e-06
0.86719,6.9544e-05,0.00010312,0.00013075,3.382e-05,3.2364e-05,3.1584e-05,7.4241e-05,0.000137,2.7314e-06
0.875,6.9584e-05,0.000107,0.00013,3.4487e-05,3.2018e-05,3.0272e-05,7.2879e-05,0.000137,-2.0851e-06
0.88281,6.9642e-05,8.6817e-05,0.00012975,3.3358e-05,3.1483e-05,3.0166e-05,7.3519e-05,0.00013738,4.61e-06
0.89063,6.8578e-05,0.00011775,0.00013025,3.3605e-05,3.1465e-05,3.1109e-05,7.4081e-05,0.000137,-1.2159e-05
0.89844,6.9957e-05,0.00010512,0.00013,3.3889e-05,3.0954e-05,3.024e-05,7.4508e-05,0.000137,9.472e-06
0.90625,6.9254e-05,0.000102,0.0001295,3.3633e-05,3.1766e-05,3.091e-05,7.3271e-05,0.000137,6.0018e-06
0.91406,6.9131e-05,0.00011163,0.00013,3.439e-05,3.095e-05,3.0985e-05,7.4344e-05,0.00013775,4.1203e-06
0.92188,6.8991e-05,8.5992e-05,0.00013,3.3656e-05,3.2163e-05,2.9858e-05,7.3909e-05,0.00013675,-3.4612e-06
0.92969,6.9007e-05,0.00011112,0.000129,3.4004e-05,3.2045e-05,3.1088e-05,7.3816e-05,0.000137,1.6014e-05
0.9375,6.8639e-05,0.000106,0.000129,3.381e-05,3.1196e-05,3.0057e-05,7.3308e-05,0.000137,-2.3957e-05
0.94531,6.9717e-05,9.98e-05,0.00012962,3.4295e-05,3.1485e-05,3.1359e-05,7.4005e-05,0.000137,5.2899e-06
0.95313,6.9326e-05,0.00011525,0.000129,3.4049e-05,3.1117e-05,3.0413e-05,7.3844e-05,0.000136,2.5316e-06
0.96094,6.9416e-05,9.2317e-05,0.00012988,3.3308e-05,3.1354e-05,2.9772e-05,7.4225e-05,0.000137,-3.0449e-05
0.96875,6.9615e-05,0.000102,0.0001295,3.4331e-05,3.157e-05,3.0247e-05,7.426e-05,0.0001365,2.1543e-05
0.97656,6.8702e-05,0.00010588,0.000129,3.3808e-05,3.1221e-05,3.0733e-05,7.4118e-05,0.00013688,-3.305e-06
0.98438,6.9779e-05,9.6622e-05,0.000129,3.2848e-05,3.1822e-05,3.0022e-05,7.4545e-05,0.000137,6.8614e-06
0.99219,6.8933e-05,0.00011925,0.00012925,3.3263e-05,3.1705e-05,3.1046e-05,7.4354e-05,0.00013737,8.7444e-06
1,6.8287e-05,9.3167e-05,0.000128,3.3691e-05,3.2318e-05,3.0531e-05,7.3463e-05,0.000136,1.6471e-05
1.0078,6.8648e-05,0.00010387,0.00012962,3.3519e-05,3.1579e-05,3.0291e-05,7.3826e-05,0.00013762,-1.502e-05
1.0156,6.8919e-05,0.000106,0.00012925,3.3812e-05,3.2079e-05,3.1506e-05,7.4154e-05,0.00013625,4.2522e-06
1.0234,6.8042e-05,9.123e-05,0.00012887,3.396e-05,3.1456e-05,3.0756e-05,7.3771e-05,0.000138,4.6235e-06
1.0313,6.7898e-05,0.0001195,0.000129,3.3673e-05,3.087e-05,3.012e-05,7.4234e-05,0.0001375,-2.1015e-06
1.0391,6.8649e-05,0.0001024,0.000129,3.4318e-05,3.1356e-05,3.0562e-05,7.4734e-05,0.000137,9.1612e-06
1.0469,6.8638e-05,0.00010034,0.00012925,3.3905e-05,3.1804e-05,3.1186e-05,7.3895e-05,0.00013775,2.6349e-05
1.0547,6.8293e-05,0.00010787,0.000129,3.4029e-05,3.2109e-05,3.1394e-05,7.3875e-05,0.000137,1.3501e-06
1.0625,6.9131e-05,8.6739e-05,0.00013,3.3613e-05,3.1163e-05,2.9864e-05,7.4128e-05,0.000138,-1.5814e-05
1.0703,6.838e-05,0.00011387,0.00012938,3.3969e-05,3.1901e-05,3.0931e-05,7.4508e-05,0.000137,1.6754e-05
1.0781,6.8899e-05,0.0001045,0.000129,3.3644e-05,3.181e-05,3.0229e-05,7.3681e-05,0.00013675,1.4179e-06
1.0859,6.8796e-05,0.00010175,0.000129,3.4494e-05,3.1901e-05,2.9801e-05,7.4215e-05,0.000137,1.2842e-05
1.0938,6.8238e-05,0.000111,0.0001295,3.397e-05,3.1599e-05,3.0327e-05,7.3903e-05,0.000137,3.8414e-06
1.1016,6.8456e-05,8.7129e-05,0.000129,3.3483e-05,3.1148e-05,3.0725e-05,7.4143e-05,0.000137,-1.0143e-05
1.1094,6.8875e-05,0.0001075,0.00012925,3.437e-05,3.1603e-05,2.9901e-05,7.3671e-05,0.00013725,1.9467e-05
1.1172,6.8001e-05,0.00010538,0.00012962,3.3997e-05,3.1777e-05,3.0281e-05,7.4396e-05,0.00013738,-9.6401e-06
1.125,6.8171e-05,9.7865e-05,0.000129,3.344e-05,3.1381e-05,2.9461e-05,7.3609e-05,0.000136,9.2551e-06
1.1328,6.7721e-05,0.00011738,0.00012938,3.3986e-05,3.1361e-05,3.002e-05,7.3681e-05,0.00013675,2.0378e-06
1.1406,6.8486e-05,8.932e-05,0.000129,3.3489e-05,3.2207e-05,3.0804e-05,7.4126e-05,0.00013625,4.4074e-05
1.1484,6.7047e-05,0.000104,0.00012913,3.3083e-05,3.2576e-05,3.0317e-05,7.442e-05,0.000137,-2.2578e-05
1.1563,6.7889e-05,0.000106,0.000129,3.4507e-05,3.2095e-05,3.0785e-05,7.3088e-05,0.000137,-1.2895e-07
1.1641,6.8276e-05,9.5704e-05,0.00013013,3.3169e-05,3.1642e-05,3.0241e-05,7.3872e-05,0.00013613,2.1295e-06
1.1719,6.7513e-05,0.00012,0.00013,3.4254e-05,3.1133e-05,3.0615e-05,7.4273e-05,0.000136,1.8533e-06
1.1797,6.7722e-05,9.9548e-05,0.00013,3.4206e-05,3.164e-05,3.108e-05,7.401e-05,0.00013738,-4.1126e-05
1.1875,6.781e-05,9.9488e-05,0.00013,3.3697e-05,3.2047e-05,3.0382e-05,7.2765e-05,0.000135,4.6931e-05
1.1953,6.8484e-05,0.00010638,0.00013,3.3982e-05,3.2196e-05,3.0756e-05,7.3561e-05,0.000137,4.0983e-06
1.2031,6.7936e-05,8.88e-05,0.00013,3.3654e-05,3.1952e-05,3.062e-05,7.3551e-05,0.00013625,5.8013e-06
1.2109,6.8317e-05,0.00011762,0.00013087,3.4607e-05,3.1808e-05,3.0166e-05,7.3747e-05,0.000136,1.9387e-05
1.2188,6.7345e-05,0.000105,0.0001305,3.3492e-05,3.1732e-05,3.1033e-05,7.3915e-05,0.000137,-1.5249e-05
1.2266,6.7729e-05,0.000102,0.00013,3.358e-05,3.2381e-05,3.1468e-05,7.3529e-05,0.00013787,-1.195e-05
1.2344,6.8049e-05,0.0001085,0.00013025,3.3552e-05,3.1197e-05,3.0814e-05,7.4984e-05,0.000137,4.6003e-06
1.2422,6.8504e-05,8.5934e-05,0.00013,3.401e-05,3.1591e-05,3.0929e-05,7.3813e-05,0.00013662,-2.1671e-06
1.25,6.7721e-05,0.000113,0.000131,3.3783e-05,3.2333e-05,3.0585e-05,7.3129e-05,0.000137,2.9803e-05
1.2578,6.9258e-05,0.00010438,0.00013,3.3262e-05,3.1688e-05,3.0885e-05,7.4323e-05,0.000136,9.0195e-06
1.2656,6.7741e-05,0.00010075,0.00013125,3.3556e-05,3.1229e-05,3.0481e-05,7.3533e-05,0.000137,4.1381e-06
1.2734,6.9189e-05,0.0001135,0.00013,3.4325e-05,3.118e-05,3.1375e-05,7.3716e-05,0.000137,7.195e-06
1.2813,6.8703e-05,8.8483e-05,0.0001305,3.3826e-05,3.1538e-05,3.0756e-05,7.3559e-05,0.000137,-6.8955e-07
1.2891,6.8742e-05,0.00010275,0.000131,3.4306e-05,3.173e-05,3.036e-05,7.3867e-05,0.000137,3.201e-05
1.2969,6.949e-05,0.000106,0.00013125,3.4614e-05,3.1693e-05,3.0364e-05,7.3586e-05,0.00013675,7.0246e-06
1.3047,6.8842e-05,9.8526e-05,0.000131,3.3899e-05,3.1207e-05,3.0467e-05,7.3278e-05,0.00013638,4.2418e-06
1.3125,6.8576e-05,0.000119,0.000132,3.4162e-05,3.2137e-05,3.0677e-05,7.4328e-05,0.000136,-6.8889e-06
1.3203,6.9184e-05,9.2442e-05,0.00013062,3.4073e-05,3.2375e-05,3.0339e-05,7.3359e-05,0.00013662,1.7903e-05
1.3281,6.8903e-05,0.0001045,0.000131,3.3304e-05,3.0971e-05,3.009e-05,7.3575e-05,0.000137,-2.7324e-05
1.3359,6.943e-05,0.00010775,0.00013087,3.3812e-05,3.0422e-05,3.0879e-05,7.3141e-05,0.000136,-5.5273e-06
1.3438,6.905e-05,9.4423e-05,0.0001315,3.4132e-05,3.0947e-05,3.0674e-05,7.4246e-05,0.000137,9.7584e-07
1.3516,6.9018e-05,0.00012087,0.000131,3.4062e-05,3.1591e-05,2.9831e-05,7.3098e-05,0.000136,9.2909e-06
1.3594,6.9952e-05,0.00010146,0.000131,3.3848e-05,3.1301e-05,2.9969e-05,7.4477e-05,0.00013675,7.0524e-07
1.3672,6.9071e-05,0.00010275,0.000131,3.3673e-05,3.1859e-05,3.0814e-05,7.3754e-05,0.00013662,-7.216e-07
1.375,6.9309e-05,0.000107,0.000131,3.3724e-05,3.1351e-05,3.0785e-05,7.4406e-05,0.000136,3.7893e-06
1.3828,6.9255e-05,8.7694e-05,0.000131,3.3364e-05,3.1751e-05,3.0568e-05,7.3741e-05,0.000137,1.5126e-06
1.3906,7.0282e-05,0.0001155,0.000131,3.4205e-05,3.1738e-05,3.0527e-05,7.3678e-05,0.00013725,4.1795e-05
1.3984,6.9769e-05,0.00010387,0.000131,3.4958e-05,3.1569e-05,3.0638e-05,7.2289e-05,0.000136,3.7112e-05
1.4063,6.9099e-05,0.0001025,0.000131,3.374e-05,3.1491e-05,3.0554e-05,7.3553e-05,0.0001365,7.1126e-06
1.4141,6.9553e-05,0.00011,0.00013113,3.3625e-05,3.1652e-05,3.0836e-05,7.3015e-05,0.000137,3.1716e-06
1.4219,6.9803e-05,8.6162e-05,0.000131,3.4005e-05,3.1517e-05,3.0585e-05,7.3362e-05,0.00013625,-2.7581e-07
1.4297,6.976e-05,0.000112,0.00013138,3.4248e-05,3.1546e-05,3.0135e-05,7.3457e-05,0.00013662,4.5698e-06
1.4375,7.0725e-05,0.000104,0.00013,3.3876e-05,3.2393e-05,3.0597e-05,7.3383e-05,0.000137,4.3144e-05
1.4453,6.9594e-05,9.9575e-05,0.00013138,3.3368e-05,3.1804e-05,3.0648e-05,7.2907e-05,0.00013662,4.7028e-06
1.4531,7.022e-05,0.0001155,0.00013275,3.4072e-05,3.2029e-05,3.0414e-05,7.4205e-05,0.00013625,6.1621e-06
1.4609,6.9668e-05,9.1566e-05,0.000131,3.4124e-05,3.1511e-05,2.9976e-05,7.3306e-05,0.00013787,-9.8662e-07
